timestamp,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
datetime,int,int,int,int,int,int,int,int
T,,,,,,,,
2012-03-16 13:30:07,28373,28126,481,75,6212676,6192378,647442,7889
2012-03-16 13:30:17,23809,23595,24,34,3326645,3308818,6695,5111
2012-03-16 13:30:27,25399,25151,183,59,3410246,3389104,218729,7099
2012-03-16 13:30:37,25440,25140,12,125,3324635,3297236,2524,15023
2012-03-16 13:30:47,24316,24078,3,49,3480193,3459176,1339,7337
2012-03-16 13:30:57,20359,20001,27,127,2851402,2820119,5821,13346
2012-03-16 13:31:07,18901,18564,3,109,2853260,2823305,519,12033
2012-03-16 13:31:17,20956,20102,103,646,2926475,2840299,32099,69556
2012-03-16 13:31:27,19942,19681,129,76,2209813,2186169,63748,9885
2012-03-16 13:31:37,22984,22607,302,199,2911791,2877120,144533,22079
2012-03-16 13:31:47,19557,18891,302,487,2815297,2742293,156246,60092
2012-03-16 13:31:57,23977,23661,1136,137,4106434,4079420,1296763,14366
2012-03-16 13:32:07,23062,22230,476,654,3038304,2947022,277923,78673
2012-03-16 13:32:17,23217,22937,328,104,3012554,2986849,161478,12869
2012-03-16 13:32:27,22006,21770,306,54,2905456,2886229,144833,5508
2012-03-16 13:32:37,17183,16937,409,55,2628564,2606974,225503,7848
2012-03-16 13:32:47,18648,18410,296,58,2622438,2597360,142428,12014
2012-03-16 13:32:57,19764,19525,637,55,3103688,3084675,408921,5827
2012-03-16 13:33:07,18282,18018,308,81,2710145,2687058,166045,10000
2012-03-16 13:33:17,20919,20703,474,44,3304574,3287422,359723,4764
2012-03-16 13:33:27,18223,17876,478,176,2952471,2920537,327384,19111
2012-03-16 13:33:37,19549,19328,345,43,3016386,2999191,179540,4527
2012-03-16 13:33:47,19063,18858,316,28,2757483,2739714,145099,4957
2012-03-16 13:33:57,18794,18581,336,33,2796606,2779875,190476,3901
2012-03-16 13:34:07,17745,17443,678,129,2917123,2891226,496220,13626
2012-03-16 13:34:17,17452,17253,293,29,2447732,2432424,156173,3016
2012-03-16 13:34:27,17378,17150,238,46,2543142,2524195,146474,5280
2012-03-16 13:34:37,23445,23175,4186,81,8716150,8691236,6028726,10808
2012-03-16 13:34:47,18414,18196,321,50,2714914,2696949,144595,5885
2012-03-16 13:34:57,16005,15802,319,32,2484872,2469399,178263,3345
2012-03-16 13:35:07,17821,17619,324,26,2532981,2517641,156009,2847
2012-03-16 13:35:17,18082,17880,368,33,2526295,2510805,190373,3376
2012-03-16 13:35:27,17857,17639,262,41,2591851,2572824,130492,5840
2012-03-16 13:35:37,16338,16122,360,43,2392373,2375497,156811,4694
2012-03-16 13:35:47,17742,17535,300,34,2541190,2525265,185159,3645
2012-03-16 13:35:57,20884,20682,331,30,3416818,3401121,169377,3293
2012-03-16 13:36:07,21740,21547,311,28,3287104,3271048,158351,4363
2012-03-16 13:36:17,20137,19653,303,40,2802704,2767092,168137,4446
