datetime,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
1331901000.0,17312,16891,422,173,2558408,2528168,76414,12279
1331901010.0,17458,17082,2,126,2729759,2703104,760,8614
1331901020.0,17871,17476,1,145,2817067,2785526,256,13138
1331901030.0,17881,17640,1,50,2834084,2815202,202,4583
1331901040.0,17314,17116,0,25,2748035,2731118,0,4679
1331901050.0,13206,13013,7,13,1945740,1931034,2848,1702
1331901060.0,5690,5490,0,24,678539,663491,0,2586
1331901070.03,5779,5587,0,17,692695,678286,0,1934
1331901080.02,5749,5542,0,25,685459,668174,0,4167
1331901090.03,5719,5522,0,21,688143,672164,0,2758
1331901100.02,3546,3365,0,11,423069,409761,0,1222
1331901110.0,2989,2799,0,12,366774,351905,0,1961
1331901120.0,2910,2672,0,67,350094,327951,0,10045
1331901130.0,2966,2756,0,37,369013,351163,0,5601
1331901140.01,2894,2680,0,44,346633,329245,0,5234
1331901150.02,3825,3639,0,19,320600,305912,0,2157
1331901160.06,241,21,0,51,18261,1534,0,4809
1331901170.02,214,23,0,20,20916,6394,0,2202
1331901180.34,199,0,0,35,17192,0,0,5576
1331901190.0,199,12,0,14,19871,5648,0,1880
1331901200.18,187,6,0,11,13836,416,0,1204
1331901210.14,227,14,0,40,23588,5788,0,4811
1331901220.07,273,33,0,70,21874,2302,0,7540
1331901230.0,279,52,0,46,25496,8368,0,4188
1331901240.03,228,12,0,41,17276,812,0,3844
1331901250.11,287,50,0,59,28140,8276,0,7247
1331901260.04,235,29,0,30,18788,1974,0,4342
1331901270.03,257,43,0,35,27098,7794,0,5613
1331901280.0,231,35,0,16,17311,2390,0,2099
1331901290.41,224,33,0,11,21627,7094,0,1749
1331901300.26,252,47,0,26,18916,3238,0,2756
1331901310.03,245,50,0,21,33764,18764,0,2661
1331901320.07,254,38,0,29,21001,2648,0,5143
1331901330.09,274,50,0,51,26414,8232,0,4979
1331901340.01,237,16,0,46,17604,1092,0,4074
1331901350.0,261,61,0,21,23812,9038,0,2104
1331901360.07,216,21,0,23,17542,1402,0,3764
1331901370.0,245,45,0,28,24707,7958,0,4460
1331901380.06,244,40,0,15,17268,2716,0,1296
1331901390.0,232,23,0,25,23573,6394,0,3168
1331901400.03,259,59,0,28,19170,4078,0,2946
1331901410.0,230,28,0,29,23377,6708,0,4403
1331901420.03,258,32,0,46,20910,2240,0,5690
1331901430.1,254,54,0,27,23747,8500,0,2850
1331901440.07,229,13,0,39,19454,890,0,6050
1331901450.23,295,63,0,41,29361,9178,0,5740
1331901460.06,275,27,0,71,21232,1814,0,6906
1331901470.0,265,38,0,55,24397,7464,0,4719
1331901480.25,303,54,0,57,23342,3704,0,5984
1331901490.05,367,133,0,57,48260,29026,0,6503
1331901500.0,328,58,0,87,29544,4004,0,12512
1331901510.04,284,50,0,51,27724,8224,0,5641
1331901520.14,283,38,0,55,23451,2752,0,7183
1331901530.18,294,61,0,55,28382,8994,0,6804
1331901540.08,254,28,0,47,19750,1904,0,5080
1331901550.12,277,55,0,40,27178,8630,0,5229
1331901560.05,255,38,0,38,19199,2592,0,3875
1331901570.03,265,44,0,39,27049,7856,0,5594
1331901580.0,278,39,0,55,21803,2654,0,5879
1331901590.03,264,33,0,57,27367,7086,0,8025
1331901600.02,222,46,0,11,15890,3188,0,1024
1331901610.0,266,39,0,49,25180,7486,0,4861
1331901620.01,262,50,0,40,20028,3608,0,4226
1331901630.01,262,53,0,25,24838,8470,0,2499
1331901640.04,274,20,0,71,23374,1384,0,8786
1331901650.02,258,66,0,12,24270,9404,0,2156
1331901660.09,208,22,0,19,15266,1476,0,1964
1331901670.13,235,21,0,39,23245,6274,0,4236
1331901680.02,213,13,0,26,15856,966,0,2620
1331901690.0,281,25,0,74,30943,6614,0,10640
1331901700.0,205,15,0,23,15682,1038,0,2586
1331901710.0,277,15,0,85,27140,5890,0,8768
1331901720.02,245,21,0,34,20513,3142,0,3917
1331901730.02,224,37,0,14,28008,12616,0,2835
1331901740.01,215,11,0,35,16515,798,0,3713
1331901750.03,293,25,8,90,30805,7381,1401,10101
1331901760.0,2551,1040,0,69,167445,66698,0,7091
1331901770.0,94536,94064,0,296,6068803,6025242,0,31099
1331901780.0,92517,92140,0,203,5931416,5897140,0,21964
1331901790.0,96242,96032,0,33,6166864,6151308,0,2785
1331901800.0,95118,94762,2,185,6098297,6065712,744,20537
1331901810.0,97083,96870,0,30,6221630,6204780,0,3047
1331901820.0,95896,95461,0,252,6151320,6110214,0,27900
1331901830.0,97039,96786,0,78,6222861,6199466,0,11025
1331901840.0,97126,96924,0,21,6218738,6203350,0,2494
1331901850.0,97216,96913,0,118,6237343,6210940,0,13108
1331901860.0,58949,58727,0,48,3779966,3761786,0,5792
1331901870.05,1089,869,7,34,97369,78387,3547,4779
1331901880.1,914,672,0,44,71841,52810,0,4831
1331901890.0,1193,995,0,19,95374,80480,0,1828
1331901900.09,771,556,0,34,60529,44068,0,3561
1331901910.04,783,510,0,75,69545,46889,0,7903
