timestamp,ground_truth,prediction
2012-03-16 13:30:07,28373,
2012-03-16 13:30:17,23809,28373
2012-03-16 13:30:27,25399,28373
2012-03-16 13:30:37,25440,23809
2012-03-16 13:30:47,24316,25399
2012-03-16 13:30:57,20359,25440
2012-03-16 13:31:07,18901,24316
2012-03-16 13:31:17,20956,20359
2012-03-16 13:31:27,19942,18901
2012-03-16 13:31:37,22984,20956
2012-03-16 13:31:47,19557,19942
2012-03-16 13:31:57,23977,22984
2012-03-16 13:32:07,23062,19557
2012-03-16 13:32:17,23217,23977
2012-03-16 13:32:27,22006,23062
2012-03-16 13:32:37,17183,23217
2012-03-16 13:32:47,18648,22006
2012-03-16 13:32:57,19764,17183
2012-03-16 13:33:07,18282,18648
2012-03-16 13:33:17,20919,19764
2012-03-16 13:33:27,18223,18282
2012-03-16 13:33:37,19549,20919
2012-03-16 13:33:47,19063,18223
2012-03-16 13:33:57,18794,19549
2012-03-16 13:34:07,17745,19063
2012-03-16 13:34:17,17452,18794
2012-03-16 13:34:27,17378,17745
2012-03-16 13:34:37,23445,17452
2012-03-16 13:34:47,18414,17378
2012-03-16 13:34:57,16005,23445
2012-03-16 13:35:07,17821,18414
2012-03-16 13:35:17,18082,16005
2012-03-16 13:35:27,17857,17821
2012-03-16 13:35:37,16338,18082
2012-03-16 13:35:47,17742,17857
2012-03-16 13:35:57,20884,16338
2012-03-16 13:36:07,21740,17742
2012-03-16 13:36:17,20137,20884
2012-03-16 13:36:27,32185,21740
2012-03-16 13:36:37,21190,20137
2012-03-16 13:36:47,20764,32185
2012-03-16 13:36:57,22072,21190
2012-03-16 13:37:07,21320,20764
2012-03-16 13:37:17,20253,22072
2012-03-16 13:37:27,39906,21320
2012-03-16 13:37:37,38359,20253
2012-03-16 13:37:47,23179,39906
2012-03-16 13:37:57,19396,38359
2012-03-16 13:38:07,20771,23179
2012-03-16 13:38:17,21386,19396
2012-03-16 13:38:27,21714,20771
2012-03-16 13:38:37,18273,21386
2012-03-16 13:38:47,15794,21714
2012-03-16 13:38:57,17403,18273
2012-03-16 13:39:07,17103,15794
2012-03-16 13:39:17,18129,17403
2012-03-16 13:39:27,18527,17103
2012-03-16 13:39:37,17392,18129
2012-03-16 13:39:47,17442,18527
2012-03-16 13:39:57,48870,17392
2012-03-16 13:40:07,15118,17442
2012-03-16 13:40:17,13420,48870
2012-03-16 13:40:27,17818,15118
2012-03-16 13:40:37,18686,13420
2012-03-16 13:40:47,17197,17818
2012-03-16 13:40:57,16901,18686
2012-03-16 13:41:07,14291,17197
2012-03-16 13:41:17,17464,16901
2012-03-16 13:41:27,20045,14291
2012-03-16 13:41:37,16924,17464
2012-03-16 13:41:47,15845,20045
2012-03-16 13:41:57,13887,16924
2012-03-16 13:42:07,16654,15845
2012-03-16 13:42:17,15602,13887
2012-03-16 13:42:27,16518,16654
2012-03-16 13:42:37,14170,15602
2012-03-16 13:42:47,16296,16518
2012-03-16 13:42:57,15968,14170
2012-03-16 13:43:07,17299,16296
2012-03-16 13:43:17,17344,15968
2012-03-16 13:43:27,14803,17299
2012-03-16 13:43:37,17761,17344
2012-03-16 13:43:47,16938,14803
2012-03-16 13:43:57,16608,17761
2012-03-16 13:44:07,14477,16938
2012-03-16 13:44:17,17588,16608
2012-03-16 13:44:27,16916,14477
2012-03-16 13:44:37,23560,17588
2012-03-16 13:44:47,33746,16916
2012-03-16 13:44:57,36178,23560
2012-03-16 13:45:07,17549,33746
2012-03-16 13:45:17,17326,36178
2012-03-16 13:45:27,16345,17549
2012-03-16 13:45:37,17148,17326
2012-03-16 13:45:47,14156,16345
2012-03-16 13:45:57,17313,17148
2012-03-16 13:46:07,24233,14156
2012-03-16 13:46:17,21768,17313
2012-03-16 13:46:27,20774,24233
2012-03-16 13:46:37,17861,21768
2012-03-16 13:46:47,16303,20774
2012-03-16 13:46:57,16322,17861
2012-03-16 13:47:07,17980,16303
2012-03-16 13:47:17,19267,16322
2012-03-16 13:47:27,19708,17980
2012-03-16 13:47:37,18122,19267
2012-03-16 13:47:47,16129,19708
2012-03-16 13:47:57,16767,18122
2012-03-16 13:48:07,15436,16129
2012-03-16 13:48:17,19920,16767
2012-03-16 13:48:27,16541,15436
2012-03-16 13:48:37,15969,19920
2012-03-16 13:48:47,14703,16541
2012-03-16 13:48:57,16212,15969
2012-03-16 13:49:07,16782,14703
2012-03-16 13:49:17,18896,16212
2012-03-16 13:49:27,19275,16782
2012-03-16 13:49:37,15292,18896
2012-03-16 13:49:47,17703,19275
2012-03-16 13:49:57,17919,15292
2012-03-16 13:50:07,26902,17703
2012-03-16 13:50:17,15843,17919
2012-03-16 13:50:27,16776,26902
2012-03-16 13:50:37,17194,15843
2012-03-16 13:50:47,17152,16776
2012-03-16 13:50:57,17343,17194
2012-03-16 13:51:07,15491,17152
2012-03-16 13:51:17,18035,17343
2012-03-16 13:51:27,17196,15491
2012-03-16 13:51:37,17932,18035
2012-03-16 13:51:47,18012,17196
2012-03-16 13:51:57,15953,17932
2012-03-16 13:52:07,17621,18012
2012-03-16 13:52:17,27141,15953
2012-03-16 13:52:27,19219,17621
2012-03-16 13:52:37,15383,27141
2012-03-16 13:52:47,24538,19219
2012-03-16 13:52:57,20120,15383
2012-03-16 13:53:07,18823,24538
2012-03-16 13:53:17,18313,20120
2012-03-16 13:53:27,22436,18823
2012-03-16 13:53:37,21289,18313
2012-03-16 13:53:47,19930,22436
2012-03-16 13:53:57,20406,21289
2012-03-16 13:54:07,19140,19930
2012-03-16 13:54:17,17051,20406
2012-03-16 13:54:27,18478,19140
2012-03-16 13:54:37,20745,17051
2012-03-16 13:54:47,26528,18478
2012-03-16 13:54:57,28352,20745
2012-03-16 13:55:07,26022,26528
2012-03-16 13:55:17,20560,28352
2012-03-16 13:55:27,19196,26022
2012-03-16 13:55:37,19218,20560
2012-03-16 13:55:47,22624,19196
2012-03-16 13:55:57,27646,19218
2012-03-16 13:56:07,19761,22624
2012-03-16 13:56:17,24187,27646
2012-03-16 13:56:27,19023,19761
2012-03-16 13:56:37,16504,24187
2012-03-16 13:56:47,24803,19023
2012-03-16 13:56:57,19694,16504
2012-03-16 13:57:07,18378,24803
2012-03-16 13:57:17,17942,19694
2012-03-16 13:57:27,23117,18378
2012-03-16 13:57:37,23398,17942
2012-03-16 13:57:47,22753,23117
2012-03-16 13:57:57,19800,23398
2012-03-16 13:58:07,17426,22753
2012-03-16 13:58:17,22917,19800
2012-03-16 13:58:27,18912,17426
2012-03-16 13:58:37,21052,22917
2012-03-16 13:58:47,17914,18912
2012-03-16 13:58:57,18612,21052
2012-03-16 13:59:07,18022,17914
2012-03-16 13:59:17,22374,18612
2012-03-16 13:59:27,23875,18022
2012-03-16 13:59:37,18829,22374
2012-03-16 13:59:47,21244,23875
2012-03-16 13:59:57,18314,18829
2012-03-16 14:00:07,18345,21244
2012-03-16 14:00:17,19850,18314
2012-03-16 14:00:27,20766,18345
2012-03-16 14:00:37,19697,19850
2012-03-16 14:00:47,21090,20766
2012-03-16 14:00:57,21279,19697
2012-03-16 14:01:07,18205,21090
2012-03-16 14:01:17,20777,21279
2012-03-16 14:01:27,21774,18205
2012-03-16 14:01:37,22323,20777
2012-03-16 14:01:47,21238,21774
2012-03-16 14:01:57,18071,22323
2012-03-16 14:02:07,20410,21238
2012-03-16 14:02:17,18627,18071
2012-03-16 14:02:27,20856,20410
2012-03-16 14:02:37,21586,18627
2012-03-16 14:02:47,16147,20856
2012-03-16 14:02:57,22738,21586
2012-03-16 14:03:07,25958,16147
2012-03-16 14:03:17,17082,22738
2012-03-16 14:03:27,15104,25958
2012-03-16 14:03:37,17987,17082
2012-03-16 14:03:47,18212,15104
2012-03-16 14:03:57,21591,17987
2012-03-16 14:04:07,19272,18212
2012-03-16 14:04:17,15802,21591
2012-03-16 14:04:27,22007,19272
2012-03-16 14:04:37,19554,15802
2012-03-16 14:04:47,23198,22007
2012-03-16 14:04:57,20160,19554
2012-03-16 14:05:07,20869,23198
2012-03-16 14:05:17,13045,20160
