jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|sensorParams|encoders|size_tcp:n,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|size_http:n,  modelParams|sensorParams|encoders|total_tcp:n,  modelParams|sensorParams|encoders|size:n,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|total_http:n,  modelParams|sensorParams|encoders|total:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|total_udp:n,  modelParams|spParams|synPermInactiveDec,  modelParams|sensorParams|encoders|size_udp:n,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=total,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=total, 
1005,  1520,  completed,  eof,  2019-03-31 04:28:39,  2019-03-31 04:28:43,  4,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|size:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  None,  0.05005,  None,  None,  272,  None,  None,  None,  275,  None,  0.05015,  None,  9849.39697902,  41.1409063974, 
1005,  1551,  completed,  eof,  2019-03-31 04:28:39,  2019-03-31 04:28:43,  4,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|size_http:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  None,  0.05005,  272,  None,  None,  None,  None,  None,  275,  None,  0.05015,  None,  8669.79593388,  36.2137158001, 
1005,  1572,  completed,  eof,  2019-03-31 04:28:39,  2019-03-31 04:28:43,  4,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|sensorParams|encoders|size_tcp:n_272.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  272,  0.05005,  None,  None,  None,  None,  None,  None,  275,  None,  0.05015,  None,  9416.75878179,  39.3337777362, 
1005,  1583,  completed,  eof,  2019-03-31 04:28:40,  2019-03-31 04:28:43,  3,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|size_udp:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  None,  0.05005,  None,  None,  None,  None,  None,  None,  275,  None,  0.05015,  272,  12260.2191208,  51.2109044174, 
1005,  1584,  completed,  eof,  2019-03-31 04:28:43,  2019-03-31 04:28:45,  2,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  None,  0.05005,  None,  None,  None,  3.5,  None,  None,  275,  None,  0.05015,  None,  6371.68391309,  26.6145076719, 
1005,  1615,  completed,  eof,  2019-03-31 04:28:43,  2019-03-31 04:28:45,  2,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  6.25,  3,  None,  0.05005,  None,  None,  None,  None,  None,  None,  275,  None,  0.05015,  None,  6371.68391309,  26.6145076719, 
1005,  1636,  completed,  eof,  2019-03-31 04:28:43,  2019-03-31 04:28:45,  2,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  1,  14,  None,  3,  None,  0.05005,  None,  None,  None,  None,  None,  None,  275,  None,  0.05015,  None,  6371.68391309,  26.6145076719, 
1005,  1647,  completed,  eof,  2019-03-31 04:28:43,  2019-03-31 04:28:46,  3,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|total:n_272.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015.modelParams|tmParams|activationThreshold_14,  361,  11,  None,  14,  None,  3,  None,  0.05005,  None,  None,  None,  None,  None,  272,  275,  None,  0.05015,  None,  8892.37476395,  37.1434270132, 
1005,  1648,  completed,  eof,  2019-03-31 04:28:45,  2019-03-31 04:28:48,  3,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|sensorParams|encoders|total_http:n_272.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  None,  0.05005,  None,  None,  None,  None,  272,  None,  275,  None,  0.05015,  None,  8216.25279593,  34.3192672541, 
1005,  1649,  completed,  eof,  2019-03-31 04:28:45,  2019-03-31 04:28:48,  3,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|sensorParams|encoders|total_tcp:n_272.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  361,  11,  None,  14,  None,  3,  None,  0.05005,  None,  272,  None,  None,  None,  None,  275,  None,  0.05015,  None,  8230.80250243,  34.3800413416, 
