timestamp,kw_energy_consumption,prediction
2012-03-16 12:30:00,17312,17312.0
2012-03-16 12:30:10,17458,17458.0
2012-03-16 12:30:20,17871,17355.8
2012-03-16 12:30:30,17881,17510.36
2012-03-16 12:30:40,17314,17621.552
2012-03-16 12:30:50,13206,17529.286399999997
2012-03-16 12:31:00,5690,5690.0
2012-03-16 12:31:10,5779,13206.0
2012-03-16 12:31:20,5749,5749.0
2012-03-16 12:31:30,5719,5726.389999999999
2012-03-16 12:31:40,3546,3546.0
2012-03-16 12:31:50,2989,2989.0
2012-03-16 12:32:00,2910,2910.0
2012-03-16 12:32:10,2966,2966.0
2012-03-16 12:32:20,2894,2894.0
2012-03-16 12:32:30,3825,3825.0
2012-03-16 12:32:40,241,241.0
2012-03-16 12:32:50,214,214.0
2012-03-16 12:33:00,199,199.0
2012-03-16 12:33:10,199,199.0
2012-03-16 12:33:20,187,187.0
2012-03-16 12:33:30,227,227.0
2012-03-16 12:33:40,273,273.0
2012-03-16 12:33:50,279,279.0
2012-03-16 12:34:00,228,228.0
2012-03-16 12:34:10,287,287.0
2012-03-16 12:34:20,235,235.0
2012-03-16 12:34:30,257,257.0
2012-03-16 12:34:40,231,231.0
2012-03-16 12:34:50,224,224.0
2012-03-16 12:35:00,252,252.0
2012-03-16 12:35:10,245,245.0
2012-03-16 12:35:20,254,254.0
2012-03-16 12:35:30,274,274.0
2012-03-16 12:35:40,237,237.0
2012-03-16 12:35:50,261,261.0
2012-03-16 12:36:00,216,216.0
2012-03-16 12:36:10,245,245.0
2012-03-16 12:36:20,244,244.0
2012-03-16 12:36:30,232,232.0
2012-03-16 12:36:40,259,259.0
2012-03-16 12:36:50,230,230.0
2012-03-16 12:37:00,258,258.0
2012-03-16 12:37:10,254,254.0
2012-03-16 12:37:20,229,229.0
2012-03-16 12:37:30,295,295.0
2012-03-16 12:37:40,275,275.0
2012-03-16 12:37:50,265,265.0
2012-03-16 12:38:00,303,303.0
2012-03-16 12:38:10,367,367.0
2012-03-16 12:38:20,328,328.0
2012-03-16 12:38:30,284,284.0
2012-03-16 12:38:40,283,283.0
2012-03-16 12:38:50,294,294.0
2012-03-16 12:39:00,254,254.0
2012-03-16 12:39:10,277,277.0
2012-03-16 12:39:20,255,255.0
2012-03-16 12:39:30,265,265.0
2012-03-16 12:39:40,278,278.0
2012-03-16 12:39:50,264,264.0
2012-03-16 12:40:00,222,222.0
2012-03-16 12:40:10,266,266.0
2012-03-16 12:40:20,262,262.0
2012-03-16 12:40:30,262,262.0
2012-03-16 12:40:40,274,274.0
2012-03-16 12:40:50,258,258.0
2012-03-16 12:41:00,208,208.0
2012-03-16 12:41:10,235,235.0
2012-03-16 12:41:20,213,213.0
2012-03-16 12:41:30,281,281.0
2012-03-16 12:41:40,205,205.0
2012-03-16 12:41:50,277,277.0
2012-03-16 12:42:00,245,245.0
2012-03-16 12:42:10,224,224.0
2012-03-16 12:42:20,215,215.0
2012-03-16 12:42:30,293,293.0
2012-03-16 12:42:40,2551,2551.0
2012-03-16 12:42:50,94536,94536.0
2012-03-16 12:43:00,92517,92517.0
2012-03-16 12:43:10,96242,96242.0
2012-03-16 12:43:20,95118,95118.0
2012-03-16 12:43:30,97083,97083.0
2012-03-16 12:43:40,95896,95896.0
2012-03-16 12:43:50,97039,97039.0
2012-03-16 12:44:00,97126,97126.0
2012-03-16 12:44:10,97216,97216.0
2012-03-16 12:44:20,58949,58949.0
2012-03-16 12:44:30,1089,1089.0
2012-03-16 12:44:40,914,914.0
2012-03-16 12:44:50,1193,1193.0
2012-03-16 12:45:00,771,771.0
2012-03-16 12:45:10,783,783.0
2012-03-16 12:45:20,490,490.0
2012-03-16 12:45:30,808,808.0
2012-03-16 12:45:40,1306,1306.0
2012-03-16 12:45:50,1545,1545.0
2012-03-16 12:46:00,821,821.0
2012-03-16 12:46:10,738,738.0
2012-03-16 12:46:20,8697,8697.0
2012-03-16 12:46:30,10717,10717.0
2012-03-16 12:46:40,13217,13217.0
2012-03-16 12:46:50,13728,13728.0
2012-03-16 12:47:00,13955,13955.0
2012-03-16 12:47:10,13139,13139.0
2012-03-16 12:47:20,15532,15532.0
2012-03-16 12:47:30,16834,16834.0
2012-03-16 12:47:40,15811,15811.0
2012-03-16 12:47:50,17203,17203.0
2012-03-16 12:48:00,12097,12097.0
2012-03-16 12:48:10,13822,13822.0
2012-03-16 12:48:20,13468,13468.0
2012-03-16 12:48:30,13215,13215.0
2012-03-16 12:48:40,11137,11137.0
2012-03-16 12:48:50,13103,13103.0
2012-03-16 12:49:00,13796,13796.0
2012-03-16 12:49:10,13116,13116.0
2012-03-16 12:49:20,12097,12097.0
2012-03-16 12:49:30,37133,37133.0
2012-03-16 12:49:40,13757,13757.0
2012-03-16 12:49:50,13209,13209.0
2012-03-16 12:50:00,13526,13526.0
2012-03-16 12:50:10,13129,13129.0
2012-03-16 12:50:20,45722,45722.0
2012-03-16 12:50:30,24166,24166.0
2012-03-16 12:50:40,12281,12281.0
2012-03-16 12:50:50,10333,10333.0
2012-03-16 12:51:00,10214,10214.0
2012-03-16 12:51:10,10709,10709.0
2012-03-16 12:51:20,10719,10719.0
2012-03-16 12:51:30,10847,10847.0
2012-03-16 12:51:40,10344,10344.0
2012-03-16 12:51:50,8602,8602.0
2012-03-16 12:52:00,10625,10625.0
2012-03-16 12:52:10,10710,10710.0
2012-03-16 12:52:20,27171,27171.0
2012-03-16 12:52:30,8665,8665.0
2012-03-16 12:52:40,11308,11308.0
2012-03-16 12:52:50,10325,10325.0
2012-03-16 12:53:00,10444,10444.0
2012-03-16 12:53:10,13666,13666.0
2012-03-16 12:53:20,9943,9943.0
2012-03-16 12:53:30,10883,10883.0
2012-03-16 12:53:40,10460,10460.0
2012-03-16 12:53:50,10448,10448.0
2012-03-16 12:54:00,10543,10543.0
2012-03-16 12:54:10,9120,9120.0
2012-03-16 12:54:20,13189,13189.0
2012-03-16 12:54:30,12403,12403.0
2012-03-16 12:54:40,11069,11069.0
2012-03-16 12:54:50,8984,8984.0
2012-03-16 12:55:00,11068,11068.0
2012-03-16 12:55:10,10934,10934.0
2012-03-16 12:55:20,11391,11391.0
2012-03-16 12:55:30,10888,10888.0
2012-03-16 12:55:40,9068,9068.0
2012-03-16 12:55:50,10977,10977.0
2012-03-16 12:56:00,11763,11763.0
2012-03-16 12:56:10,11335,11335.0
2012-03-16 12:56:20,11437,11437.0
2012-03-16 12:56:30,9306,9306.0
2012-03-16 12:56:40,15310,15310.0
2012-03-16 12:56:50,12246,12246.0
2012-03-16 12:57:00,11173,11173.0
2012-03-16 12:57:10,8861,8861.0
2012-03-16 12:57:20,10859,10859.0
2012-03-16 12:57:30,10840,10840.0
2012-03-16 12:57:40,11151,11151.0
2012-03-16 12:57:50,11340,11340.0
2012-03-16 12:58:00,9183,9183.0
2012-03-16 12:58:10,11532,11532.0
2012-03-16 12:58:20,15196,15196.0
2012-03-16 12:58:30,12143,12143.0
2012-03-16 12:58:40,9238,9238.0
2012-03-16 12:58:50,11394,11394.0
2012-03-16 12:59:00,11423,11423.0
2012-03-16 12:59:10,12461,12461.0
2012-03-16 12:59:20,12497,12497.0
2012-03-16 12:59:30,10301,10301.0
2012-03-16 12:59:40,11634,11634.0
2012-03-16 12:59:50,12842,12842.0
2012-03-16 13:00:00,11987,11987.0
2012-03-16 13:00:10,13545,13545.0
2012-03-16 13:00:20,33687,33687.0
2012-03-16 13:00:30,11593,11718.836090158076
2012-03-16 13:00:40,11654,11681.085263110652
2012-03-16 13:00:50,11348,11348.0
2012-03-16 13:01:00,11992,11992.0
2012-03-16 13:01:10,11792,11792.0
2012-03-16 13:01:20,12385,12385.0
2012-03-16 13:01:30,11335,11335.0
2012-03-16 13:01:40,12260,12260.0
2012-03-16 13:01:50,10647,10647.0
2012-03-16 13:02:00,13670,13670.0
2012-03-16 13:02:10,14069,14069.0
2012-03-16 13:02:20,18387,18387.0
2012-03-16 13:02:30,14518,14518.0
2012-03-16 13:02:40,12500,12500.0
2012-03-16 13:02:50,16087,16087.0
2012-03-16 13:03:00,14576,14576.0
2012-03-16 13:03:10,12751,12751.0
2012-03-16 13:03:20,11246,11246.0
2012-03-16 13:03:30,13157,13157.0
2012-03-16 13:03:40,12021,12021.0
2012-03-16 13:03:50,12769,12769.0
2012-03-16 13:04:00,16307,16307.0
2012-03-16 13:04:10,15074,15074.0
2012-03-16 13:04:20,14602,14602.0
2012-03-16 13:04:30,13763,13763.0
2012-03-16 13:04:40,13890,13890.0
2012-03-16 13:04:50,10673,10673.0
2012-03-16 13:05:00,14163,14163.0
2012-03-16 13:05:10,13522,13522.0
2012-03-16 13:05:20,14003,14003.0
2012-03-16 13:05:30,17324,17324.0
2012-03-16 13:05:40,15605,15605.0
2012-03-16 13:05:50,14859,14859.0
2012-03-16 13:06:00,15457,15457.0
2012-03-16 13:06:10,16172,16172.0
2012-03-16 13:06:20,13484,13484.0
2012-03-16 13:06:30,11406,11406.0
2012-03-16 13:06:40,12191,12191.0
2012-03-16 13:06:50,16292,16292.0
2012-03-16 13:07:00,19500,19500.0
2012-03-16 13:07:10,16394,16394.0
2012-03-16 13:07:20,18478,18478.0
2012-03-16 13:07:30,17210,17210.0
2012-03-16 13:07:40,16361,16361.0
2012-03-16 13:07:50,16330,16330.0
2012-03-16 13:08:00,12100,12100.0
2012-03-16 13:08:10,14026,14026.0
2012-03-16 13:08:20,14479,14479.0
2012-03-16 13:08:30,16747,16747.0
2012-03-16 13:08:40,15506,15506.0
2012-03-16 13:08:50,13951,13951.0
2012-03-16 13:09:00,16151,16151.0
2012-03-16 13:09:10,18289,18289.0
2012-03-16 13:09:20,17858,17858.0
2012-03-16 13:09:30,39449,39449.0
2012-03-16 13:09:40,15208,15208.0
2012-03-16 13:09:50,17275,17275.0
2012-03-16 13:10:00,17255,17255.0
2012-03-16 13:10:10,34627,34627.0
2012-03-16 13:10:20,23430,23430.0
2012-03-16 13:10:30,20373,20373.0
2012-03-16 13:10:40,17935,17935.0
2012-03-16 13:10:50,12471,12471.0
2012-03-16 13:11:00,17356,17356.0
2012-03-16 13:11:10,20322,20322.0
2012-03-16 13:11:20,25933,25933.0
2012-03-16 13:11:30,91628,91628.0
2012-03-16 13:11:40,80159,80159.0
2012-03-16 13:11:50,11396,11396.0
2012-03-16 13:12:00,13785,13785.0
2012-03-16 13:12:10,14092,14092.0
2012-03-16 13:12:20,12802,12802.0
2012-03-16 13:12:30,17102,17102.0
2012-03-16 13:12:40,14773,14773.0
2012-03-16 13:12:50,19355,19355.0
2012-03-16 13:13:00,18582,18582.0
2012-03-16 13:13:10,33661,33661.0
2012-03-16 13:13:20,25232,25232.0
2012-03-16 13:13:30,12896,12896.0
2012-03-16 13:13:40,13572,13572.0
2012-03-16 13:13:50,12958,12958.0
2012-03-16 13:14:00,12892,12892.0
2012-03-16 13:14:10,10449,10449.0
2012-03-16 13:14:20,13544,13544.0
2012-03-16 13:14:30,15411,15411.0
2012-03-16 13:14:40,14713,14713.0
2012-03-16 13:14:50,12137,12137.0
2012-03-16 13:15:00,18102,18102.0
2012-03-16 13:15:10,20781,20781.0
2012-03-16 13:15:20,27695,27695.0
2012-03-16 13:15:30,13407,13407.0
2012-03-16 13:15:40,10633,10633.0
2012-03-16 13:15:50,17940,17940.0
2012-03-16 13:16:00,19272,19272.0
2012-03-16 13:16:10,33477,33477.0
2012-03-16 13:16:20,58317,58317.0
2012-03-16 13:16:30,137487,137487.0
2012-03-16 13:16:40,102534,102534.0
2012-03-16 13:16:50,81375,81375.0
2012-03-16 13:17:00,112234,112234.0
2012-03-16 13:17:10,97134,97134.0
2012-03-16 13:17:20,143909,143909.0
2012-03-16 13:17:30,141242,141242.0
2012-03-16 13:17:40,133441,133441.0
2012-03-16 13:17:50,114459,114459.0
2012-03-16 13:18:00,105297,105297.0
2012-03-16 13:18:10,132710,132710.0
2012-03-16 13:18:20,92214,92214.0
2012-03-16 13:18:30,50597,50597.0
2012-03-16 13:18:40,56688,56688.0
2012-03-16 13:18:50,93816,93816.0
2012-03-16 13:19:00,105233,105233.0
2012-03-16 13:19:10,74538,74538.0
2012-03-16 13:19:20,76701,76701.0
2012-03-16 13:19:30,44616,44616.0
2012-03-16 13:19:40,53869,53869.0
2012-03-16 13:19:50,143309,143309.0
2012-03-16 13:20:00,34886,34886.0
2012-03-16 13:20:10,40303,40303.0
